longitude,latitude,location,photo_id,county,year,description,url,preview
-75.933607,42.593563,approximate,AJ-3-96,Cortland,1936,Centered near Taylor Valley in Cincinnatus (13040) in Cortland County New York.,http://stor.artstor.org/stor/62829c3d-d6f5-40ea-bc74-e16f788be9cd.jpg,http://stor.artstor.org/stor/62829c3d-d6f5-40ea-bc74-e16f788be9cd_size2
-75.90128,42.654863,approximate,AJ-4-41,Cortland,1936,Centered near Union Valley in Cincinnatus (13040) in Cortland County New York.,http://stor.artstor.org/stor/6447c485-0151-4829-8aad-05c642f12ee1.jpg,http://stor.artstor.org/stor/6447c485-0151-4829-8aad-05c642f12ee1_size2
-75.902539,42.675694,approximate,AJ-4-39,Cortland,1936,Centered near Lincklaen in Cincinnatus (13040) in Cortland County New York.,http://stor.artstor.org/stor/5891c5ca-1e29-4291-9687-e2b55ac31167.jpg,http://stor.artstor.org/stor/5891c5ca-1e29-4291-9687-e2b55ac31167_size2
-75.900453,42.717082,approximate,AJ-4-35,Cortland,1936,Centered near Guyler Hill in Truxton (13158) in Cortland County New York.,http://stor.artstor.org/stor/8d287632-8727-4809-8332-82fc181e6171.jpg,http://stor.artstor.org/stor/8d287632-8727-4809-8332-82fc181e6171_size2
-75.903994,42.696835,approximate,AJ-4-37,Cortland,1936,Centered near Guyler Hill in Truxton (13158) in Cortland County New York.,http://stor.artstor.org/stor/70ab3fec-2049-4278-ae95-60746ecc35b5.jpg,http://stor.artstor.org/stor/70ab3fec-2049-4278-ae95-60746ecc35b5_size2
-75.898095,42.779623,approximate,AJ-4-29,Cortland,1936,Centered near Puckerville in Truxton (13158) in Cortland County New York.,http://stor.artstor.org/stor/543bd4fd-1c91-4bc0-a19c-cb233b5d3804.jpg,http://stor.artstor.org/stor/543bd4fd-1c91-4bc0-a19c-cb233b5d3804_size2
-75.899555,42.761117,approximate,AJ-4-31,Cortland,1936,Centered near DeRuyter in Truxton (13158) in Cortland County New York.,http://stor.artstor.org/stor/c8e23278-bea9-4ab3-905d-449bf41a1840.jpg,http://stor.artstor.org/stor/c8e23278-bea9-4ab3-905d-449bf41a1840_size2
-75.899247,42.739769,approximate,AJ-4-33,Cortland,1936,Centered near DeRuyter in Truxton (13158) in Cortland County New York.,http://stor.artstor.org/stor/1e0ccbf5-7b0f-461b-8b5d-75d828ae056d.jpg,http://stor.artstor.org/stor/1e0ccbf5-7b0f-461b-8b5d-75d828ae056d_size2
-76.218531,42.602848,approximate,AJ-1-49,Cortland,1936,Centered near Munsons Corners in Cortland (13045) in Cortland County New York.,http://stor.artstor.org/stor/3f45cd53-4d0c-4567-93e2-105bd902bbb5.jpg,http://stor.artstor.org/stor/3f45cd53-4d0c-4567-93e2-105bd902bbb5_size2
-76.217446,42.579914,approximate,AJ-1-51,Cortland,1936,Centered near Munsons Corners in Cortland (13045) in Cortland County New York.,http://stor.artstor.org/stor/81a101c1-c05a-4fe7-92b8-512b8b804e8c.jpg,http://stor.artstor.org/stor/81a101c1-c05a-4fe7-92b8-512b8b804e8c_size2
